"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Mon Jan 10 2022 00:00:00 GMT+0530 (India Standard Time)","13.35","13.55","13.30","13.50","1.89","1.61","5,501,354"
"Tue Jan 11 2022 00:00:00 GMT+0530 (India Standard Time)","13.50","13.55","13.30","13.30","-1.48","-1.75","3,907,146"
"Wed Jan 12 2022 00:00:00 GMT+0530 (India Standard Time)","13.35","13.45","13.20","13.20","-0.75","-1.02","2,367,692"
"Thu Jan 13 2022 00:00:00 GMT+0530 (India Standard Time)","13.25","13.30","13.15","13.25","0.38","0.11","2,132,786"
"Fri Jan 14 2022 00:00:00 GMT+0530 (India Standard Time)","13.25","13.40","13.20","13.20","-0.38","-0.65","3,430,753"
"Mon Jan 17 2022 00:00:00 GMT+0530 (India Standard Time)","13.30","13.40","13.25","13.30","0.76","0.48","2,227,416"
"Tue Jan 18 2022 00:00:00 GMT+0530 (India Standard Time)","13.35","13.35","13.15","13.20","-0.75","-1.02","3,014,260"
"Wed Jan 19 2022 00:00:00 GMT+0530 (India Standard Time)","13.20","13.25","13.05","13.20","0","-0.27","3,570,618"
"Thu Jan 20 2022 00:00:00 GMT+0530 (India Standard Time)","13.20","13.25","13.10","13.15","-0.38","-0.65","2,490,285"
"Fri Jan 21 2022 00:00:00 GMT+0530 (India Standard Time)","13.10","13.15","12.85","12.90","-1.90","-2.17","2,722,849"
"Mon Jan 24 2022 00:00:00 GMT+0530 (India Standard Time)","12.95","13.00","12.60","12.65","-1.94","-2.21","3,294,091"
"Tue Jan 25 2022 00:00:00 GMT+0530 (India Standard Time)","12.70","13.00","12.60","12.95","2.37","2.10","2,601,343"
"Thu Jan 27 2022 00:00:00 GMT+0530 (India Standard Time)","12.90","13.40","12.85","13.35","3.09","2.82","6,813,083"
"Fri Jan 28 2022 00:00:00 GMT+0530 (India Standard Time)","13.40","13.60","13.35","13.45","0.75","0.48","6,618,099"
"Mon Jan 31 2022 00:00:00 GMT+0530 (India Standard Time)","13.60","13.85","13.55","13.60","1.12","0.84","6,774,619"
"Tue Feb 01 2022 00:00:00 GMT+0530 (India Standard Time)","14.00","14.20","13.45","13.55","-0.37","-0.64","13,459,587"
"Wed Feb 02 2022 00:00:00 GMT+0530 (India Standard Time)","13.60","13.95","13.60","13.80","1.85","1.57","8,853,755"
"Thu Feb 03 2022 00:00:00 GMT+0530 (India Standard Time)","13.85","13.95","13.60","13.65","-1.09","-1.36","5,768,324"
"Fri Feb 04 2022 00:00:00 GMT+0530 (India Standard Time)","13.70","13.75","13.40","13.45","-1.47","-1.74","4,479,779"
"Mon Feb 07 2022 00:00:00 GMT+0530 (India Standard Time)","13.45","13.80","13.35","13.40","-0.37","-0.64","5,714,458"
"Tue Feb 08 2022 00:00:00 GMT+0530 (India Standard Time)","13.45","13.55","13.25","13.30","-0.75","-1.02","4,028,500"
"Wed Feb 09 2022 00:00:00 GMT+0530 (India Standard Time)","13.35","13.50","13.20","13.25","-0.38","-0.65","2,796,950"
"Thu Feb 10 2022 00:00:00 GMT+0530 (India Standard Time)","13.30","13.35","13.20","13.25","0","-0.27","1,966,747"
"Fri Feb 11 2022 00:00:00 GMT+0530 (India Standard Time)","13.15","13.15","12.95","13.00","-1.89","-2.16","2,753,939"
"Mon Feb 14 2022 00:00:00 GMT+0530 (India Standard Time)","12.90","12.90","12.50","12.55","-3.46","-3.73","4,149,177"
"Tue Feb 15 2022 00:00:00 GMT+0530 (India Standard Time)","12.60","12.80","12.40","12.75","1.59","1.32","4,294,571"
"Wed Feb 16 2022 00:00:00 GMT+0530 (India Standard Time)","12.85","12.90","12.65","12.80","0.39","0.12","3,846,707"
"Thu Feb 17 2022 00:00:00 GMT+0530 (India Standard Time)","12.85","12.90","12.65","12.70","-0.78","-1.05","2,344,388"
"Fri Feb 18 2022 00:00:00 GMT+0530 (India Standard Time)","12.65","12.75","12.60","12.60","-0.79","-1.06","2,125,872"
"Mon Feb 21 2022 00:00:00 GMT+0530 (India Standard Time)","12.55","12.65","12.45","12.50","-0.79","-1.07","2,850,338"
"Tue Feb 22 2022 00:00:00 GMT+0530 (India Standard Time)","12.25","12.45","12.20","12.20","-2.40","-2.67","2,884,176"
"Wed Feb 23 2022 00:00:00 GMT+0530 (India Standard Time)","12.30","12.55","12.25","12.30","0.82","0.55","2,581,463"
"Thu Feb 24 2022 00:00:00 GMT+0530 (India Standard Time)","12.00","12.10","11.05","11.30","-8.13","-8.40","6,042,994"
"Fri Feb 25 2022 00:00:00 GMT+0530 (India Standard Time)","11.55","12.30","11.55","11.75","3.98","3.71","5,428,800"
"Mon Feb 28 2022 00:00:00 GMT+0530 (India Standard Time)","11.75","11.85","11.65","11.80","0.43","0.15","3,504,184"
"Wed Mar 02 2022 00:00:00 GMT+0530 (India Standard Time)","11.75","11.90","11.70","11.85","0.42","0.15","2,435,332"
"Thu Mar 03 2022 00:00:00 GMT+0530 (India Standard Time)","11.95","12.15","11.85","11.90","0.42","0.15","3,500,394"
"Fri Mar 04 2022 00:00:00 GMT+0530 (India Standard Time)","11.85","12.00","11.80","11.80","-0.84","-1.11","2,471,678"
"Mon Mar 07 2022 00:00:00 GMT+0530 (India Standard Time)","11.60","11.70","11.45","11.50","-2.54","-2.82","2,321,024"
"Tue Mar 08 2022 00:00:00 GMT+0530 (India Standard Time)","11.55","11.75","11.50","11.65","1.30","1.03","2,738,750"
"Wed Mar 09 2022 00:00:00 GMT+0530 (India Standard Time)","11.75","11.90","11.70","11.75","0.86","0.59","2,002,714"
"Thu Mar 10 2022 00:00:00 GMT+0530 (India Standard Time)","12.00","12.15","11.85","11.90","1.28","1.00","2,926,559"
"Fri Mar 11 2022 00:00:00 GMT+0530 (India Standard Time)","11.85","12.05","11.80","11.90","0","-0.27","2,276,652"
"Mon Mar 14 2022 00:00:00 GMT+0530 (India Standard Time)","11.95","12.05","11.95","12.00","0.84","0.57","1,938,116"
